img_path,y_true,attr_true,y_pred,p_0,p_1,p_max,correct
data/waterbirds/data/test_9737_Golden_Winged_Warbler_0091_794808.jpg,0,0,0,0.9991826415061951,0.0008173711248673499,0.9991826415061951,1
data/waterbirds/data/test_3492_Heermann_Gull_0118_45626.jpg,1,1,1,9.348835737910122e-05,0.9999065399169922,0.9999065399169922,1
data/waterbirds/data/test_7154_Henslow_Sparrow_0096_116758.jpg,0,1,0,0.5776222944259644,0.42237770557403564,0.5776222944259644,1
data/waterbirds/data/test_4546_Gray_Kingbird_0030_70110.jpg,0,0,0,0.9745705127716064,0.025429481640458107,0.9745705127716064,1
data/waterbirds/data/test_8330_Black_Tern_0073_144638.jpg,1,0,1,0.08821067959070206,0.9117893576622009,0.9117893576622009,1
data/waterbirds/data/test_1461_Bronzed_Cowbird_0023_24058.jpg,0,0,0,0.9824767112731934,0.017523320391774178,0.9824767112731934,1
data/waterbirds/data/test_5039_Mallard_0119_76925.jpg,1,1,1,0.0025488752871751785,0.99745112657547,0.99745112657547,1
data/waterbirds/data/test_4777_Ringed_Kingfisher_0103_72894.jpg,0,0,0,0.9994712471961975,0.0005287933745421469,0.9994712471961975,1
data/waterbirds/data/test_8039_Cliff_Swallow_0081_134119.jpg,0,1,0,0.7755188345909119,0.22448119521141052,0.7755188345909119,1
data/waterbirds/data/test_4156_Pomarine_Jaeger_0013_795759.jpg,1,0,1,0.294686883687973,0.7053131461143494,0.7053131461143494,1
data/waterbirds/data/test_3833_Western_Gull_0115_54950.jpg,1,0,1,0.2864804267883301,0.7135195136070251,0.7135195136070251,1
data/waterbirds/data/test_7328_Nelson_Sharp_Tailed_Sparrow_0068_796930.jpg,0,1,1,0.24602113664150238,0.7539789080619812,0.7539789080619812,0
data/waterbirds/data/test_10629_Worm_Eating_Warbler_0021_795545.jpg,0,1,0,0.9985490441322327,0.001450920943170786,0.9985490441322327,1
data/waterbirds/data/test_85_Laysan_Albatross_0017_614.jpg,1,0,1,0.007715481333434582,0.9922845363616943,0.9922845363616943,1
data/waterbirds/data/test_3804_Western_Gull_0029_54143.jpg,1,1,1,3.380137059139088e-05,0.9999661445617676,0.9999661445617676,1
data/waterbirds/data/test_8879_Blue_Headed_Vireo_0022_156184.jpg,0,1,0,0.9464311003684998,0.053568895906209946,0.9464311003684998,1
data/waterbirds/data/test_1191_Chuck_Will_Widow_0026_796963.jpg,0,0,0,0.9999469518661499,5.306374441715889e-05,0.9999469518661499,1
data/waterbirds/data/test_6165_Horned_Puffin_0077_100671.jpg,1,1,1,0.0010518532944843173,0.9989481568336487,0.9989481568336487,1
data/waterbirds/data/test_10526_Tennessee_Warbler_0019_174786.jpg,0,0,0,0.9999377727508545,6.226085679372773e-05,0.9999377727508545,1
data/waterbirds/data/test_11486_Carolina_Wren_0006_186742.jpg,0,0,0,0.9999748468399048,2.5100349375861697e-05,0.9999748468399048,1
data/waterbirds/data/test_3507_Heermann_Gull_0139_45749.jpg,1,1,1,0.0005476648220792413,0.9994522929191589,0.9994522929191589,1
